ccounty,precinct,office,district,candidate,party,votes
Cass,"City of Dowagiac, Ward 1, Precinct 1",United States Senator,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 1, Precinct 1",U.S. House,5,Libbi Urban,DEM,192
Cass,"City of Dowagiac, Ward 1, Precinct 1",U.S. House,5,Tim Walberg,REP,184
Cass,"City of Dowagiac, Ward 1, Precinct 1",U.S. House,5,James Bronke,GRN,13
Cass,"City of Dowagiac, Ward 1, Precinct 1",U.S. House,5,Unresolved Write-In,,2
Cass,"City of Dowagiac, Ward 1, Precinct 1",State House,37,Angela Jones,DEM,191
Cass,"City of Dowagiac, Ward 1, Precinct 1",State House,37,Brad Paquette,REP,193
Cass,"City of Dowagiac, Ward 1, Precinct 1",State House,37,Unresolved Write-In,,2
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Theodore Jones,DEM,168
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,DEM,167
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Tom McMillin,REP,168
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Nikki Snyder,REP,164
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Scotty Boman,LIB,14
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Ted Gerrard,UST,7
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,UST,5
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,WCP,37
Cass,"City of Dowagiac, Ward 1, Precinct 1",Member of the State Board of Education,,Unresolved Write-In,,3
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Denise llitch,DEM,171
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,176
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Carl Meyers,REP,177
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,153
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,LIB,19
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,UST,23
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"City of Dowagiac, Ward 1, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,3
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,177
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,171
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,175
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,161
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,17
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,15
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,9
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,5
Cass,"City of Dowagiac, Ward 1, Precinct 1",Trustee of Michigan State University,,Unresolved Write-in,,2
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,176
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,168
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,165
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,164
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,9
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,William Mohr II,UST,8
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,5
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,26
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,5
Cass,"City of Dowagiac, Ward 1, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,3
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,238
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,28
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Sheriff,,Clint Roach,REP,248
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Sheriff,,Unresolved Write-In,,22
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,244
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,20
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Treasurer,,Hope Anderson,REP,245
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Treasurer,,Unresolved Write-In,,22
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,237
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,23
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,167
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Surveyor,,Unresolved Write-In,,18
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 1st District,,Minnie M. Warren,DEM,16
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 1st District,,Tom Langley,REP,9
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 1st District,,Ryan Charles Laylin,WRITE-IN,0
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 1st District,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 2nd District,,Lois A. Koel,DEM,175
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 2nd District,,James Lawrence,REP,174
Cass,"City of Dowagiac, Ward 1, Precinct 1",County Commissioner 2nd District,,Unresolved Write-In,,4
Cass,"City of Dowagiac, Ward 1, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,121
Cass,"City of Dowagiac, Ward 1, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,157
Cass,"City of Dowagiac, Ward 1, Precinct 1",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,11
Cass,"City of Dowagiac, Ward 1, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,169
Cass,"City of Dowagiac, Ward 1, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,111
Cass,"City of Dowagiac, Ward 1, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,13
Cass,"City of Dowagiac, Ward 1, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,141
Cass,"City of Dowagiac, Ward 1, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,183
Cass,"City of Dowagiac, Ward 1, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Total Unresolved Write-In,,18
Cass,"City of Dowagiac, Ward 1, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,234
Cass,"City of Dowagiac, Ward 1, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,19
Cass,"City of Dowagiac, Ward 1, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,146
Cass,"City of Dowagiac, Ward 1, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,190
Cass,"City of Dowagiac, Ward 1, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,14
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,148
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,158
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,112
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,170
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,13
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,231
Cass,"City of Dowagiac, Ward 1, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,21
Cass,"City of Dowagiac, Ward 2, Precinct 2",Registered Voters,,,,1309
Cass,"City of Dowagiac, Ward 2, Precinct 2",Ballots Cast,,,,448
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Democratic Party,DEM,117
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Republican Party,REP,170
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Libertarian Party,LIB,3
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Green Party,GRN,1
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Working Class Party,WCP,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Natural Law Party,NLP,3
Cass,"City of Dowagiac, Ward 2, Precinct 2",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Kamala D. Harris/Tim Walz,DEM,185
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Donald J. Trump/JD Vance,REP,251
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Chase Oliver/Mike ter Maat,LIB,3
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Randall Terry/Stephen E. Broden,UST,1
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Jill Stein/Rudolph Ware,GRN,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,4
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Joseph Kishore/Jerry White,NPA,1
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Cornel West/Melina Abdullah,NPA,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Peter Sonski,WRITE-IN,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",President,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Elissa Slotkin,DEM,175
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Mike Rogers,REP,234
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Joseph Solis-Mullen,LIB,10
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Dave Stein,UST,4
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Douglas P. Marsh,GRN,3
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Doug Dern,NLP,2
Cass,"City of Dowagiac, Ward 2, Precinct 2",United States Senator,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",U.S. House,5,Libbi Urban,DEM,174
Cass,"City of Dowagiac, Ward 2, Precinct 2",U.S. House,5,Tim Walberg,REP,231
Cass,"City of Dowagiac, Ward 2, Precinct 2",U.S. House,5,James Bronke,GRN,16
Cass,"City of Dowagiac, Ward 2, Precinct 2",U.S. House,5,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",State House,37,Angela Jones,DEM,178
Cass,"City of Dowagiac, Ward 2, Precinct 2",State House,37,Brad Paquette,REP,241
Cass,"City of Dowagiac, Ward 2, Precinct 2",State House,37,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Theodore Jones,DEM,160
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Adam Frederick Zemke,DEM,152
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Tom McMillin,REP,202
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Nikki Snyder,REP,222
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Scotty Boman,LIB,13
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Ted Gerrard,UST,6
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Christine C. Schwartz,UST,8
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Mary Anne Hering,WCP,31
Cass,"City of Dowagiac, Ward 2, Precinct 2",Member of the State Board of Education,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Denise llitch,DEM,159
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,164
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Carl Meyers,REP,219
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Sevag Vartanian,REP,199
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Andrew Chadderdon,LIB,20
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Donna M. Oetman,UST,18
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Regent of the University of Michigan,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,169
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Thomas Stallworth III,DEM,158
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Mike Balow,REP,208
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Julie Maday,REP,211
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Grant T. Baker,LIB,17
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Janet M. Sanger,UST,9
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,John Paul Sanger,UST,6
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,John Anthony La Pietra,GRN,10
Cass,"City of Dowagiac, Ward 2, Precinct 2",Trustee of Michigan State University,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Rasha Demashkieh,DEM,157
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Mark T. Gaffney,DEM,155
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Michael Busuito,REP,208
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Sunny Reddy,REP,210
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Farid Ishac,LIB,12
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,William Mohr II,UST,4
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Sami Makhouk,GRN,3
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Suzanne Roehrig,WCP,24
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Kathleen Oakford,NLP,8
Cass,"City of Dowagiac, Ward 2, Precinct 2",Governor of Wayne State University,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Prosecuting Attorney,,Victor Fitz,REP,319
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Prosecuting Attorney,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Sheriff,,Clint Roach,REP,324
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Sheriff,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Clerk and Register of Deeds,,Monica McMichael,REP,318
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Clerk and Register of Deeds,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Treasurer,,Hope Anderson,REP,317
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Treasurer,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Drain Commissioner,,Jeff VanBelle,REP,313
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Drain Commissioner,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Surveyor,,Thomas A. Stephenson,NPA,222
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Surveyor,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Commissioner 2nd District,,Lois A. Koel,DEM,180
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Commissioner 2nd District,,James Lawrence,REP,238
Cass,"City of Dowagiac, Ward 2, Precinct 2",County Commissioner 2nd District,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Justice of Supreme Court 8 Year Term,,Andrew Fink,,107
Cass,"City of Dowagiac, Ward 2, Precinct 2",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,180
Cass,"City of Dowagiac, Ward 2, Precinct 2",Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,158
Cass,"City of Dowagiac, Ward 2, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,141
Cass,"City of Dowagiac, Ward 2, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,166
Cass,"City of Dowagiac, Ward 2, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,178
Cass,"City of Dowagiac, Ward 2, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,249
Cass,"City of Dowagiac, Ward 2, Precinct 2",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,167
Cass,"City of Dowagiac, Ward 2, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,205
Cass,"City of Dowagiac, Ward 2, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,188
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,154
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,143
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,207
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,257
Cass,"City of Dowagiac, Ward 2, Precinct 2",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Registered Voters,,,,1179
Cass,"City of Dowagiac, Ward 3, Precinct 3",Ballots Cast,,,,330
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Democratic Party,DEM,76
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Republican Party,REP,130
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Libertarian Party,LIB,2
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Green Party,GRN,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Working Class Party,WCP,1
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Natural Law Party,NLP,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Kamala D. Harris/Tim Walz,DEM,113
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Donald J. Trump/JD Vance,REP,213
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Chase Oliver/Mike ter Maat,LIB,1
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Randall Terry/Stephen E. Broden,UST,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Jill Stein/Rudolph Ware,GRN,1
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Cornel West/Melina Abdullah,NPA,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Peter Sonski,WRITE-IN,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",President,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Elissa Slotkin,DEM,108
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Mike Rogers,REP,198
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Joseph Solis-Mullen,LIB,6
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Dave Stein,UST,2
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Douglas P. Marsh,GRN,2
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Doug Dern,NLP,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",United States Senator,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",U.S. House,5,Libbi Urban,DEM,107
Cass,"City of Dowagiac, Ward 3, Precinct 3",U.S. House,5,Tim Walberg,REP,201
Cass,"City of Dowagiac, Ward 3, Precinct 3",U.S. House,5,James Bronke,GRN,6
Cass,"City of Dowagiac, Ward 3, Precinct 3",U.S. House,5,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",State House,37,Angela Jones,DEM,114
Cass,"City of Dowagiac, Ward 3, Precinct 3",State House,37,Brad Paquette,REP,196
Cass,"City of Dowagiac, Ward 3, Precinct 3",State House,37,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Theodore Jones,DEM,100
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Adam Frederick Zemke,DEM,102
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Tom McMillin,REP,182
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Nikki Snyder,REP,175
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Scotty Boman,LIB,4
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Ted Gerrard,UST,1
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Christine C. Schwartz,UST,5
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Mary Anne Hering,WCP,13
Cass,"City of Dowagiac, Ward 3, Precinct 3",Member of the State Board of Education,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Denise llitch,DEM,105
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,107
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Carl Meyers,REP,176
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Sevag Vartanian,REP,157
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Andrew Chadderdon,LIB,11
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Donna M. Oetman,UST,9
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Regent of the University of Michigan,,Unresolved Write-In,,1
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,109
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Thomas Stallworth III,DEM,93
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Mike Balow,REP,174
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Julie Maday,REP,162
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Grant T. Baker,LIB,8
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Janet M. Sanger,UST,5
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,John Paul Sanger,UST,4
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,John Anthony La Pietra,GRN,7
Cass,"City of Dowagiac, Ward 3, Precinct 3",Trustee of Michigan State University,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Rasha Demashkieh,DEM,96
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Mark T. Gaffney,DEM,103
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Michael Busuito,REP,169
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Sunny Reddy,REP,165
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Farid Ishac,LIB,4
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,William Mohr II,UST,4
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Sami Makhoul,GRN,6
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Suzanne Roehrig,WCP,11
