county,precinct,office,district,party,candidate,absentee,election_day,votes
Kalamazoo,Portage City 3,Straight Party,,DEM,Democratic,260,113,373
Kalamazoo,Portage City 4,Straight Party,,DEM,Democratic,189,120,309
Kalamazoo,Portage City 5,Straight Party,,DEM,Democratic,219,153,372
Kalamazoo,Portage City 6,Straight Party,,DEM,Democratic,213,144,357
Kalamazoo,Portage City 7,Straight Party,,DEM,Democratic,134,161,295
Kalamazoo,Portage City 8,Straight Party,,DEM,Democratic,336,209,545
Kalamazoo,Portage City 9,Straight Party,,DEM,Democratic,253,245,498
Kalamazoo,Portage City 10,Straight Party,,DEM,Democratic,209,150,359
Kalamazoo,Portage City 11,Straight Party,,DEM,Democratic,287,238,525
Kalamazoo,Portage City 12,Straight Party,,DEM,Democratic,298,96,394
Kalamazoo,Portage City 13,Straight Party,,DEM,Democratic,278,222,500
Kalamazoo,Portage City 14,Straight Party,,DEM,Democratic,261,186,447
Kalamazoo,Portage City 15,Straight Party,,DEM,Democratic,229,180,409
Kalamazoo,Portage City 16,Straight Party,,DEM,Democratic,310,192,502
Kalamazoo,Portage City 17,Straight Party,,DEM,Democratic,212,136,348
Kalamazoo,Portage City 18,Straight Party,,DEM,Democratic,304,201,505
Kalamazoo,Portage City 19,Straight Party,,DEM,Democratic,190,164,354
Kalamazoo,Alamo Twp. 1,Straight Party,,REP,Republican,93,171,264
Kalamazoo,Alamo Twp. 2,Straight Party,,REP,Republican,130,332,462
Kalamazoo,Brady Twp. 1,Straight Party,,REP,Republican,119,287,406
Kalamazoo,Brady Twp. 2,Straight Party,,REP,Republican,97,334,431
Kalamazoo,Charleston Twp. 1,Straight Party,,REP,Republican,96,237,333
Kalamazoo,Climax Twp. 1,Straight Party,,REP,Republican,105,338,443
Kalamazoo,Comstock Twp. 1,Straight Party,,REP,Republican,85,273,358
Kalamazoo,Comstock Twp. 2,Straight Party,,REP,Republican,83,192,275
Kalamazoo,Comstock Twp. 3,Straight Party,,REP,Republican,82,244,326
Kalamazoo,Comstock Twp. 4,Straight Party,,REP,Republican,101,182,283
Kalamazoo,Comstock Twp. 5,Straight Party,,REP,Republican,99,125,224
Kalamazoo,Comstock Twp. 6,Straight Party,,REP,Republican,78,143,221
Kalamazoo,Comstock Twp. 7,Straight Party,,REP,Republican,40,82,122
Kalamazoo,Cooper Twp. 1,Straight Party,,REP,Republican,57,148,205
Kalamazoo,Cooper Twp. 2,Straight Party,,REP,Republican,70,194,264
Kalamazoo,Cooper Twp. 3,Straight Party,,REP,Republican,130,231,361
Kalamazoo,Cooper Twp. 4,Straight Party,,REP,Republican,215,361,576
Kalamazoo,Cooper Twp. 5,Straight Party,,REP,Republican,11,60,71
Kalamazoo,Kalamazoo Twp. 1,Straight Party,,REP,Republican,7,46,53
Kalamazoo,Kalamazoo Twp. 2,Straight Party,,REP,Republican,32,101,133
Kalamazoo,Kalamazoo Twp. 3,Straight Party,,REP,Republican,136,155,291
Kalamazoo,Kalamazoo Twp. 4,Straight Party,,REP,Republican,32,106,138
Kalamazoo,Kalamazoo Twp. 5,Straight Party,,REP,Republican,43,97,140
Kalamazoo,Kalamazoo Twp. 6,Straight Party,,REP,Republican,54,65,119
Kalamazoo,Kalamazoo Twp. 7,Straight Party,,REP,Republican,144,203,347
Kalamazoo,Kalamazoo Twp. 8,Straight Party,,REP,Republican,55,73,128
Kalamazoo,Kalamazoo Twp. 9,Straight Party,,REP,Republican,22,66,88
Kalamazoo,Kalamazoo Twp. 10,Straight Party,,REP,Republican,51,114,165
Kalamazoo,Oshtemo Twp. 1,Straight Party,,REP,Republican,92,206,298
Kalamazoo,Oshtemo Twp. 2,Straight Party,,REP,Republican,117,301,418
Kalamazoo,Oshtemo Twp. 3,Straight Party,,REP,Republican,92,120,212
Kalamazoo,Oshtemo Twp. 4,Straight Party,,REP,Republican,116,86,202
Kalamazoo,Oshtemo Twp. 5,Straight Party,,REP,Republican,40,39,79
Kalamazoo,Oshtemo Twp. 6,Straight Party,,REP,Republican,123,81,204
Kalamazoo,Oshtemo Twp. 7,Straight Party,,REP,Republican,95,98,193
Kalamazoo,Oshtemo Twp. 8,Straight Party,,REP,Republican,60,90,150
Kalamazoo,Oshtemo Twp. 9,Straight Party,,REP,Republican,96,153,249
Kalamazoo,Oshtemo Twp. 10,Straight Party,,REP,Republican,66,110,176
Kalamazoo,Pavilion Twp. 1,Straight Party,,REP,Republican,118,265,383
Kalamazoo,Pavilion Twp. 2,Straight Party,,REP,Republican,60,176,236
Kalamazoo,Pavilion Twp. 3,Straight Party,,REP,Republican,38,169,207
Kalamazoo,Prairie Ronde Twp. 1,Straight Party,,REP,Republican,0,411,411
Kalamazoo,Richland Twp. 1,Straight Party,,REP,Republican,161,280,441
Kalamazoo,Richland Twp. 2,Straight Party,,REP,Republican,115,224,339
Kalamazoo,Richland Twp. 3,Straight Party,,REP,Republican,189,289,478
Kalamazoo,Ross Twp. 1,Straight Party,,REP,Republican,109,249,358
Kalamazoo,Ross Twp. 2,Straight Party,,REP,Republican,162,229,391
Kalamazoo,Schoolcraft Twp. 1,Straight Party,,REP,Republican,128,199,327
Kalamazoo,Schoolcraft Twp. 2,Straight Party,,REP,Republican,44,139,183
Kalamazoo,Schoolcraft Twp. 3,Straight Party,,REP,Republican,137,293,430
Kalamazoo,Schoolcraft Twp. 4,Straight Party,,REP,Republican,94,178,272
Kalamazoo,Texas Twp. 1,Straight Party,,REP,Republican,168,317,485
Kalamazoo,Texas Twp. 2,Straight Party,,REP,Republican,135,271,406
Kalamazoo,Texas Twp. 3,Straight Party,,REP,Republican,100,139,239
Kalamazoo,Texas Twp. 4,Straight Party,,REP,Republican,144,241,385
Kalamazoo,Texas Twp. 5,Straight Party,,REP,Republican,169,252,421
Kalamazoo,Texas Twp. 6,Straight Party,,REP,Republican,176,303,479
